"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"28","REAL SHIPPING - MONI","JOFFROY","406463","LA JUNTA - TAP","93AP1E","20/5/2022","10:00","2395 KG","S00083749/CARGA SUELTA","22-16-3714-2000125","DEMATIC","MANZANILLO","MONTERREY","JORGE MANZO","93AP1E","622","------","ENTREGADO","23/05/2022","S 003","","","","","","","","","","","","","","","",""
"29","EXIMICS","ALPHA Y OMEGA","1437382","SSA","94AD3H","20/5/2022","14:00","40 HC/40 HC/","PCIU8481561/PCIU8487153","22-16-3132-2001737","ARCADIA","MANZANILLO","GUADALAJARA","JORGE PERFINO","94AD3H","CARTA TERCEROS 621","ISL-ALMAN","ENTREGADO","21/052022","S 002","","","","","","","","","","","","","","","",""
"30","EXIMICS","ALPHA Y OMEGA","1437383","SSA","64AK5A","20/5/2022","14:00","40 HC-18070/ 40 HC-18070 KG","PCIU8832542/PCIU9581020","22-16-3132-2001738","ARCADIA","MANZANILLO","GUADALAJARA","FIDEL ","64AK5A","619","ISL","ENTREGADO","21/05/2022","I 173","","","","","","","","","","","","","","","",""
"31","LOGISTIC PLUS- CYNTHIA","GAB S.C.","4571278","SSA","64AK5A","20/5/2022","7:00","20 DC/ 7.53 TON","DFSU1377482","22-16-3962-2000406","SOL. DE ALTURA","MANZANILLO","MONTERREY","FIDEL ","64AK5A","623","SSA","ENTREGADO","23/05/2022","I 175","","","","","","","","","","","","","","","",""
"32","LOGISTIC PLUS - DIEGO","WELDEX","","","","","","40 DC/ 18.6 TON","EITU1620191","22-16-3933-2000973","KARCHER","LAZARO CARDENAS","MONTERREY","ALEJANDRO GARCIA","091EH6","CTA TERCEROS 620","LAZARO","ENTREGADO","23/05/2022","I 174","","","","","","","","","","","","","","","",""
"33","REAL SHIPPING - MONI","JOFFROY","523254V","TIMSA","19AT6G","21/5/2022","11:00","40 HC/12632.2 KG","TCNU6809019","22-16-3714-2000124","DEMATIC","MANZANILLO","MONTERREY","FIDEL ","64AK5A","624","CIMA","ENTREGADO","22/05/2022","S 004","","","","","","","","","","","","","","","",""
"34","LOGISTIC PLUS-DIEGO","UNITRADE","4577786","SSA","19AT6G","24/5/2022","7:00","40 HC/19577 KG","NYKU4283361","22-16-3451-2005104","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","633","SSA","ENTREGADO","27/05/2022","S 012","","","","","","","","","","","","","","","",""
"35","LOGISTIC PLUS - DIEGO","UNITRADE","4579314","SSA","19AT6G","24/5/2022","12:00","40 HC/13672 KG","BEAU5357024","22-16-3451-2004841","DAIKIN","MANZANILLO","SAN LUIS POTOSI","TOÑO","19AT6G","631","SSA","ENTREGADO","26/05/2022","S 009","","","","","","","","","","","","","","","",""
"36","REAL SHIPPING - MONI","JOFFROY","523327V","TIMSA","38AV7C","24/5/2022","9:00","20 GP/ 16988 kg","EITU0222660","22-16-3714-2000127","DEMATIC","MANZANILLO","MONTERREY","PABLO","38AV7C","628","CIMA","ENTREGADO","25/05/2022","S 008","","","","","","","","","","","","","","","",""
"37","REAL SHIPPING - MONI","JOFFROY","3409601","OCUPA","98AF9K","24/5/2022","10:00","7500 KG","S00003963/CARGA SUELTA","22-16-3714-2000131","DEMATIC","MANZANILLO","MONTEREY","ERICK CASTILLO","98AF9K","CTA TERCEROS 626","------","ENTREGADO","25/05/2022","S 006","","","","","","","","","","","","","","","",""
