"FF","SOLICITA","AGENCIA","CODIGO PIS","TERMINAL","PLACAS PIS","FECHA PIS","HORARIO","TIPO Y PESO","CONTENEDOR","PEDIMENTO","CLIENTE","ORIGEN","DESTINO","ASIGNACION DE OPERADOR // STATUS","UNIDAD","FOLIO","VACIO/PATIO","STATUS / VACIO","FECHA DE ENTREGA MERCANCIA","Nº Factura","CCP","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","-----","BOD. REAL S","21AX4Y","06/07/2024","9:00","20 PALLETS / 4482.36 KG / SELLO: 54","CARGA SUELTA","REF: W00000040","YAZAKI","LAZARO C","JUAREZ","DANIEL","21AX4Y / 20UF3Y","B - LCR 37","-------","ENTREGADO","09/07/2024","S 989","CCP 449","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","-----","BOD. REAL S","59BF7E","06/07/2024","9:00","6 PALLETS / 1420 KG / SELLO : 55 ","CARGA SUELTA","REF: W00000039","YAZAKI","LAZARO C","OBREGON","ROBERTO","59BF5E","CTA TERCEROS A - LCR 38","-------","ENTREGADO","08/07/2024","S 985","CCP 450","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","GTS","---------","TIMSA","19BD1B","06/07/2024","20:00","20 DC / 1,86 KG","UETU2926040","REF: EMC20240019","OPERADORA DE LIMOSINAS","MANZANILLO","MANZANILLO","PABLO","19BD1B","EXPORTACION","---------","ENTREGADO","06/07/2024","S 986","N/A","","","","","","","","","","","","","","",""
"","ONEBOX","WOODWARD","3800253","CONTECON","64AK5A","08/07/2024","5:00","40 HC / 2010 KG","TIIU5239841","24-16-3719-4019166","PANASONIC","MANZANILLO","MONTERREY","ANTONIO","64AK5A /","O - 1375","CIMA","ENTREGADO","09/07/2024","S 990","DD 166","","","","","","","","","","","","","","",""
"","ONEBOX","WOODWARD","683064V","TIMSA","19BD1B","09/07/2024","17:00","40 DC / 2681.230 KG","EMCU1452933","24-16-3719-4020067","PANASONIC","MANZANILLO","MONTERREY","PABLO","19BD1B /21UN5D","N - 1376 - 1","CIMA","ENTREGADO","11/07/2024","S 991","DD 168 / CCP 452","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","PEDRO MARTINEZ","9053844","SSA","19BD1B","09/07/2024","8:00","30 CAJAS / 9197 KG","CARGA SUELTA","24-16-3957-4001506","INGERSOLL","MANZANILLO","MONTERREY","PABLO","19BD1B / 22UN5D","N - 1376 - 2","------","ENTREGADO","10/07/2024","S 992","DD 169 / CCP 453","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","------","ACCESSA","80BF7E","09/07/2024","15:00","5 PALLETS / 1193.3 KG","CARGA SUELTA","REF: S00015367","YAZAKI","MANZANILLO","JUAREZ","JORGE SOTELO","80BF7E","CTA TERCEROS T - 1377","------","ENTREGADO","11/07/2024","S 993","CI","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","------","ACCESSA","30BA6K","09/07/2024","15:00","2 PALLETS  / 571.97 KG","CARGA SUELTA","REF: S00015366","YAZAKI","MANZANILLO","OBREGON","JOSE ZUÑIGA ","30BA6K","A - 1378","------","ENTREGADO","10/07/2024","S 994","CCP 451","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","3805654","CONTECON","06BF7E","10/07/2024","5:00","40 HC / 14658 KG","EGHU8237624","24-16-3957-4000982","REPLASA","MANZANILLO","MEXICO","OSCAR ZUÑIGA","06BF7E / 16UP6N","I - 1379","CIMA","ENTREGADO","11/07/2024","S 988","N/A","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","PEDRO MARTINEZ","9054931","SSA","38AV7C","10/07/2024","7:00","24 CAJAS / 7664 KG","CARGA SUELTA","24-16-3957-4001506","INGERSOLL","MANZANILLO","MONTERREY","ANTONIO ZUÑIGA","64AK5A / 31US5W","N - 1380","------","ENTREGADO","12/07/2024","S 995","DD 170 / CCP 454","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","108271","MULTIMODAL","FE9713A","11/07/2024","15:00","3 PALLETS / 754 KG","CARGA SUELTA","24-16-3010-4001795","TAURUS","MANZANILLO","QUERETARO","ROBERTO","FE9713A","E - 1381","------","ENTREGADO","12/07/2024","S 996","DD 171","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","4618988","FRIMAN","59BF7E /49BB6L","12/07/2024","12.00 / 16:00","5 PALLETS / 3546 KG","CARGA SUELTA","24-16-3708-4000746","ARGO","MANZANILLO","QUERETARO","LUIS CASTILLO - GOZ","49BB6L","CTA TERCEROS R - 1382","------","ENTREGADO","13/07/2024","S 997","DD 172","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","S1204945","SSA","21AX4Y","13/07/2024","4:00","20 DC / 23785.500 KG","MRKU8069732","24-16-3957-4001040","LAVISA","MANZANILLO","QUERETARO","DANIEL","21AX4Y / 10UL5N","F - 1383 - 1","SSA","ENTREGADO","15/07/2024","S 998","DD 173 / CCP 455","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","4619989","OCUPA","21AX4Y","13/07/2024","11.00","20 DC / 23965.300 KG","WHLU0310985","24-16-3957-4000906","LAVISA","MANZANILLO","QUERETARO","OSCAR ZUÑIGA","06BF7E / 59UP9N","R - 1384","OCUPA","ENTREGADO","15/07/2024","S 999","DD 174 / CCP 456","","","","","","","","","","","","","","",""
"","WELLINGTON","ROBEJOMA","1207105C","SSA","06BF7E","13/07/2024","11:00","20 DC / 3610 KG","PCIU1282320","24-16-3708-4000749","ARGO","MANZANILLO","QUERETARO","DANIEL","21AX4Y/  74UT5W","F - 1383 - 2","OCUPA","ENTREGADO","15/07/2024","S 1000","DD 176 / CCP 457","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","684153V","TIMSA","19BD1B","15/07/2024","17:00","20 DC / 13766.880 KG","FCIU5101987","24-16-3910-4007818","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B / 22UN5D","A - 1385","CIMA PRINCIPAL","ENTREGADO","16/07/2024","S 1003","DD 178","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","3816967","CONTECON","64AK5A","16/07/22024","16:00","20 DC / 14878.050 KG","CMAU0001491","24-16-3957-4001215","PHOTOPIA","MANZANILLO","MEXICO","ANTONIO","64AK5A / 31US5W","B - 1386","IMPALA","ENTREGADO","17/07/2024","S 1004","DD 175","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","107548","MULTIMODAL","52BG9A","05/07/2024","9:00","6 TARIMAS / 2544 KG","CARGA SUELTA","24-16-3708-4000699","ARGO","MANZANILLO","QUERETARO","JOSE ZUÑIGA","52BG9A","C - 1374","--------","ENTREGADO","17/07/2024","S 987","DD 165 / CCP 446/ ccp 460","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","WELLDEX","1215556C","SSA","06BF7E","17/07/2024","11:00","20 DC / 6908.040 KG","TCKU3385041","24-16-3200-4011554","KARCHER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 10UL5N","A - 1387-2","IMPALA","ENTREGADO","18/07/2024","S 1007","DD 179 / CCP 463","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","S1214813","SSA","21AX4Y","17/07/2024","12:00","40 GP / 16645 KG","CSNU4080940","24-16-3910-4007729","RYDER","MANZANILLO","MONTERREY","DANIEL","21AX4Y / 16UP6N","A - 1387-1","CIMA PRINCIPAL","ENTREGADO","18/07/2024","S 1008","DD 180 / CCP 464","","","","","","","","","","","","","","",""
"","PAK2GO - ARELI","CODEX","4627877","FRIMAN","30BA6K","17/07/2024","6:00","2 PALLETS / 1520 KG","CARGA SUELTA","24-16-3854-4000656","GLOBAL FASTENERS","MANZANILLO","MONTERREY","ROBERTO ","30BA6K","C - 1388","-------","ENTREGADO","18/07/2024","S 1002","N/A","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","------","ACCESSA","FE9713A","17/07/2024","9:00","1 PALLET / 432.29 KG","CARGA SUELTA","REF: S00015450","YAZAKI","MANZANILLO","OBREGON","TOMAS FRANCO","FE9713A","O - 1389","-------","ENTREGADO","18/07/2024","S 1009","CCP 461","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","------","ACCESSA","59BF5E","17/07/2024","9.00","4 PALLETS / 1442.01","CARGA SUELTA","REF: S00015447","YAZAKI","MANZANILLO","JUAREZ","ARTURO ZUÑIGA - FER","59BF5E","CTA TERCEROS N - 1390","-------","ENTREGADO","18/07/2024","S 1010","CCP 462","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","------","ACCESSA","52BG9A","18/07/2024","9:00","7 PALLETS / 2888.74 KG","CARGA SUELTA","REF: S00015467","YAZAKI","MANZANILLO","SILAO","JOSE ZUÑIGA","52BG9A","T - 1391","-------","ENTREGADO","19/07/2024","S 1011","CCP 465","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","660341B","TIMSA","JY34534","18/07/2024","5:30","1 PALLET / 423.48 KG","CARGA SUELTA","24-16-3010-4002707","TAURUS","MANZANILLO","QUERETARO","NESTOR RAYGOZA - HECTOR CRUZ","JY34534","CTA TERCEROS A - 1392","-------","ENTREGADO","19/07/ 2024","S 1006","DD 181 / 182","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","S1224073","SSA","19BD1B","20/07/2024","4:30","20 DC / 22631.610 KG","PCIU1479670","24-16-3957-4001520","LAVISA","MANZANILLO","QUERETARO","PABLO","19BD1B / 31US5W","I - 1393","IMPALA","ENTREGADO","22/07/2024","S 1012","DD 183","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","","TIMSA","52BG9A","20/07/2024","6:30","7 PALLETS / 3731 KG","CARGA SUELTA","24-16-3957-4001521","CENTRIENT","MANZANILLO","RAMOS ARIZPE","JOSE","52BG9A","N - 1394","------","ENTREGADO","22/07/2024","S 1005","","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----------","-------","BOD. REAL S","21AX4Y","20/07/2024","9:00","27 PALLETS / 4424.5 KG","CARGA SUELTA","REF: W00000051","YAZAKI","LAZARO C","SILAO","DANIEL","21AX4Y / 20UF3Y","C - LCR  39","------","ENTREGADO","22/07/2024","S 1014","CCP 466","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----------","-------","BOD. REAL S","30BA6K","22/07/2024","9:00","4 PALLETS, 9 CAJAS / 761 KG","CARGA SUELTA","REF: W00000052","YAZAKI","LAZARO C","OBREGON","TOMAS FRANCO","30BA6K","O - LCR 40","------","ENTREGADO","23/07/2024","S 1015","CCP 468","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-----------","-------","BOD. REAL S","21AX4Y","23/07/2024","9.00","22 PALLETS / 4030.35 KG","CARGA SUELTA","REF: W00000053","YAZAKI","LAZARO C","JUAREZ","DANIEL","21AX4Y / 20UF3Y","N - LCR 41","------","ENTREGADO","","S 1016 / I 247","CCP 469","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","9075219","SSA","59BF5E","22/07/2024","6:00","3 BULTOS / 1226 KG","CARGA SUELTA","24-16-3708-4000776","ARGO","MANZANILLO","QUERETARO","ROBERTO","59BF5E","CTA TERCEROS E - 1395","------","ENTREGADO","23/07/2024","1013","DD 184 / CCP 467","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","412909B","SSA","19BD1B","23/07/2024","8:00","20 DC / 31585 KG","OOLU1609724/OOCU0661151","24-16-3910-4007814","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B/ 21UN5D, 22UN5D","R - 1396 -2","TIMSA","ENTREGADO","25/07/2024","S 1019","DD 185","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","","SSA","38AV7C","23/07/2024","8:00","20DC / 25386 KG","CSNU1132850/TEMU3104771","24-16-3910-4008112","RYDER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 59UP9N, 74UT5W","F - 1397 -2","TIMSA","ENTREGADO","25/07/2024","S 1020","DD 186","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","PEDRO MARTINEZ","874071","TAP","52BG9A","23/07/2024","14:00","11 CAJAS / 3612 KG","CARGA SUELTA","24-16-3957-4001668","INGERSOLL","MANZANILLO","MONTERREY","JOSE","52BG9A","R - 1398","------","ENTREGADO","24/07/2024","S 1021","DD 187","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","-------","ACCESSA","06BF7E","23/07/2024","15:30","21 PALLETS / 10498.5 KG","CARGA SUELTA","REF: S00015502","YAZAKI","MANZANILLO","SILAO","JORGE","06BF7E / 10UL5N","A - 1399","------","ENTREGADO","24/07/2024","S 1017","CCP 471","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","-------","ACCESSA","64AK5A","23/07/2024","15:30","21 PALLETS / 9829.61 KG","CARGA SUELTA","REF: S00015503","YAZAKI","MANZANILLO","JUAREZ","ANTONIO","64AK5A / 16UP6N","B - 1400","------","ENTREGADO","25/07/2024","S 1018","CCP 470","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","F416652","SSA","38AV7C","27/07/2024","12:30","  20 DC / 28178 KG","CSLU2287443/TEMU3131653","24-16-3910-4008128","RYDER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 31US5W, 74UT5W","A - 1401 -2","ISL","ENTREGADO","31/07/2024","S 1022","DD 188 / CCP 476","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","F416649","SSA","19BD1B","27/07/2024","11:30","20 DC / 32152 KG","CSNU1593739/TEMU4872162","24-16-3910-4008192 / 4008186","RYDER","MANZANILLO","MONTERREY","PABLO","19BD1B/ 21UN5D, 22UN5D","C - 1402 - 2","ISL","ENTREGADO","29/07/2024","S 1023","DD 190 / CCP 472","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","------","BOD. REAL S","21AX4Y","27/07/2024","10:00","18 PALLETS / 6077.74 KG / SELLO: 64","CARGA SUELTA","REF: W00000059","YAZAKI","LAZARO C","SILAO","OSCAR ZUÑIGA","38AV7C / 20UF3Y","T - LCR 42","------","ENTREGADO","29/07/2024","S 1024","CCP 473","","","","","","","","","","","","","","",""
"","ONEBOX","WOODWARD","-----","CONTECON","19BD1B","01/08/2024","5:00","40 DC  / 5026.060 KG ","EISU1568633","24-16-3719-4019080","PANASONIC","MANZANILLO","MONTERREY","PABLO","19BD1B / 21UN5D","T - 1405","CIMA ASIPONA","ENTREGADO","02/08/2024","S 1029","DD 193","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","-------","------","BOD. REAL S","52BG9A","27/07/2024","10:00","12 PALLETS / 2523.20 KG / SELLO: 63","CARGA SUELTA","REF: W00000058","YAZAKI","LAZARO C","JUAREZ","JOSE ZUÑIGA","52BG9A","A - LCR 43","------","ENTREGADO","29/07/2024","S 1025","CCP 474","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","-------","------","APM","21AX4Y","29/07/2024","13:00","40 DC / 5092.77 KG","MRKU4428480","3933 - 4001248","KARCHER","LAZARO C","MONTERREY","DANIEL","21AX4Y / 16UP6N","I - LCR 44","APM","ENTREGADO","30/07/2024","S 1026","DD 189","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","","SSA","64AK5A","29/07/2024","8:00","20 DC / 30142 KG","SEKU1388609/OOCU0634921","24-16-3910-4008130","RYDER","MANZANILLO","MONTERREY","ANTONIO","64AK5A / 10UL5N, 59UP9N","O - 1403 - 2","ISL","ENTREGADO","30/07/2024","S 1027","DD 191 / CCP 475","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","110304","MULTIMODAL","FE9713A","30/07/2024","15:00","2 PALLETS / 340 KG","CARGA SUELTA","24-16-3010-4002777","TAURUS","MANZANILLO","QUERETARO","TOMAS FRANCO","FE9713A","N - 1404","------","ENTREGADO","31/07/2024","S 1028","DD 192","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","-------","-----","APM","MX9437A","01/08/2024","6:00","40 DC / 17640 KG","CAAU6504693","3933-4001307","KARCHER","LAZARO C","MONTERREY","DANIEL","21AX4Y / 16UP6N","N - LCR 45","APM","ENTREGADO","02/08/2024","S 1030","DD 194","","","","","","","","","","","","","","",""
"","REAL SHIPPING - MONI","-------","S1255773","SSA","06BF7E","03/08/2024","11:00","40 HC / 14608 KG","PCIU8679069","24-16-4117-4001192","CEVA LOGISTICS","MANZANILLO","MONTERREY","ANTONIO","06BF7E / 74UT5W","A - 1406","IMPALA","ENTREGADO","05/08/2024","S 1031","DD 195","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","662826B","TIMSA","52BG9A","06/08/2024","5:00","9 BULTOS / 3785 KG","CARGA SUELTA","24-16-3708-4000814","ARGO","MANZANILLO","QUERETARO","JOSE","52BG9A","I - 1407","--------","ENTREGADO","07/08/2024","S 1032","DD 196","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","F423231","SSA","38AV7C","06/08/2024","8:00","20 DC - 40 HC / 31672 KG","CSNU1048781/OOCU7112636","24-16-3910-4008151","RYDER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 10UL5N, 31US5W","N - 1408-2","CIMA","ENTREGADO","07/08/2024","S 1033","DD 198","","","","","","","","","","","","","","",""
"","WELLINGTON- FELIPE","ROBEJOMA","3853937","CONTECON","19BD1B","06/08/2024","12:00","40 HC / 2736.400 KG","CAIU7245964","24-16-3708-4000835","ARGO","MANZANILLO","QUERETARO","PABLO","19BD1B / 31UW5K","E - 1409","ISL","ENTREGADO","07/08/2024","S 1034","DD 197/ CCP 478","","","","","","","","","","","","","","",""
"","WELLINGTON- FELIPE","ROBEJOMA","4655502","OCUPA","21AX4Y","07/08/2024","18:00"," 20 DC / 4783 KG","PCIU1773725","24-16-3708-4000840","ARGO","MANZANILLO","QUERETARO","DANIEL","21AX4Y / 74UT5W","R - 1410","IMPALA/SSA","ENTREGADO","08/08/2024","S 1036","DD 200 / CCP 479","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","------","ACCESSA","59BF5E","07/08/2024","4:00","3 PALLETS / 1251.22 KG","CARGA SUELTA","REF: S00015692","YAZAKI","MANZANILLO","OBREGON","ROBERTO","59BF5E","CTA TERCEROS F - 1411","------","ENTREGADO","08/08/2024","S 1041","CCP 480","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","------","ACCESSA","30BA6K","07/08/2024","4:00","3 PALLETS / 1203.46 KG","CARGA SUELTA","REF: S00015691","YAZAKI","MANZANILLO","JUAREZ","JOSE","30BA6K","R - 1412","------","ENTREGADO","09/08/2024","S 1042","CCP 481","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","------","ACCESSA","52BG9A","08/08/2024","9.00","7 PALLETS / 2945.28 KG","CARGA SUELTA","REF: S00015693","YAZAKI","MANZANILLO","SILAO","JORGE","52BG9A","A - 1413","------","ENTREGADO","09/08/2024","S 1043","CCP 483","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","WELLDEX","1268849","SSA","06BF7E","08/08/2024","11:00","20 DC / 2529.730 KG","PCIU0240172","24-16-3200-4015532","KARCHER","MANZANILLO","MONTERREY","ANTONIO","06BF7E / 59UP9N","B - 1414","IMPALA","ENTREGADO","09/08/2024","S 1037","DD 199 / CCP 482","","","","","","","","","","","","","","",""
"","DAYSI REYES","AA. ROBLES","1268417C","SSA","19BD1B","08/08/2024","13:00","40 HC / 5870 KG","ONEU0487106","24-16-1742-4002751","DAYSI REYES","MANZANILLO","QUIROGA , MICH","PABLO","19BD1B / 31UW5K","A - 1415","SSA ","ENTREGADO","09/08/2024","S 1038","DD 201","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","SEGROVE","689076V","TIMSA","38AV7C","09/08/2024","11:00","20 DC / 32267 KG","CSLU2152108/DFSU2878895","24-16-3910-4008280","RYDER","MANZANILLO","MONTERREY","OSCAR ZUÑIGA","38AV7C / 10UL5N, 31US5W","C -  1416 - 2","CIMA PRINCIPAL","ENTREGADO","10/08/2024","S 1039","DD 207","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","9114157","SSA","387CG6","09/08/2024","7:00","7 PALLETS / 1526 KG","CARGA SUELTA","24-16-3708-4000845","ARGO","MANZANILO","QUERETARO","TOMAS FRANCO","52BG9A","O - 1417","-------","ENTREGADO","10/09/2024","S 1040","DD 206 / CCP 484","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","----","OCUPA","-------","09/08/2024","19:00","40 HC /15125 KG - 18470 KG","PCIU8801372 / PCIU9076692","22-16-3524-4002213","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","QUEMADA","------------------","--------","-------","QUEMADA","------","----------","DD 202","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","----","OCUPA","-----","09/08/2024","19:00","40 HC / 12930 KG - 14575 KG","PCIIU9392601 / PCIU9589801","22-16-3524-4002213/4002204","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","QUEMADA","------------------","------","-------","QUEMADA","------","----------","DD 203","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","4657547","OCUPA","13AV5C","09/08/2024","19:00","40 HC / 16925 KG","PCIU9590340 ","24-16-3524-4002204","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","ANTONIO ZUÑIGA","06BF7E / 74UT5W, 75UT5W","E- 1423 -1","IMPALA","ENTREGADO","16/08/2024","S 1052","DD 204","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","4657557","OCUPA","68AV5C","09/08/2024","19:00","40 HC / 16520 KG","TCNU6202262","24-16-3524-4002204","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","QUEMADA","--------","------","-------","QUEMADA","-------","---------","DD 205","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","------","CONTECON","19BD1B","10/08/2024","5:00","21320 KG","CGMU6961219","24-16-3957-4001596","CENTRIENT","MANZANILLO","RAMOS ARIZPE","PABLO","19BD1B PLANA 30UW5K","N - 1418","SLTC","ENTREGADO","12/08/2024","S 1035","FALTA POD","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","-----","BOD. REAL S","21AX4Y","10/08/2024","12:00","20 PALLETS / 4917.5 KG / SELLO: 68","CARGA SUELTA","REF: W00000070","YAZAKI","LAZARO C","JUAREZ","DANIEL","21AX4Y / 16UP6N","E - LCR 46","-------","ENTREGADO","14/08/2024","S 1044","CCP 485","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","PEDRO MARTINEZ","112358","MULTIMODAL","52BG9A","12/08/2024","11:00","18 CAJAS / 4937 KG","CARGA SUELTA","24-16-3957-4001783","INGERSOLL","MANZANILLO","MONTERREY","JOSE","52BG9A","T - 1419","-------","ENTREGADO","13/08/2024","S 1045","DD 208","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - YOKO","PEDRO MARTINEZ","112361","MULTIMODAL","06BF7E","12/08/2024","12:00"," 18 CAJAS / 4909 KG","CARGA SUELTA","24-16-3957-4001783","INGERSOLL","MANZANILLO","MONTERREY","ANTONIO ZUÑIGA","06BF7E","A - 1420","-------","ENTREGADO","13/08/2024","S 1046","DD 209","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","4661632","OCUPA","17AG3M","13/08/2024","13:00","40 HC / 16520 KG / 14575 KG","TCNU6202262/PCIU9589801","24-16-3524-4002204","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","PABLO","19BD1B PLANA 30UW5K, 31UW5K","I - 1421 - 2","IMPALA","ENTREGADO","15/08/2024","S 1047","DD 205 / CCP 486","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","4661732","OCUPA","ND4076C","13/08/2024","14:00","40 HC / 12930 KG / 18470 KG","PCIU9392601 / PCIU9076692","24-16-3524-4002213","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","OSCAR ZUÑIGA","38AV7C / 10UL5N, 59UP9N","N - 1422 - 2","IMPALA","ENTREGADO","16/08/2024","S 1051","DD 203 / CCP 487","","","","","","","","","","","","","","",""
"","LOGISTIC PLUS - ADRIANA CEPEDA","C.A SERVIPORT S.C","4661743","OCUPA","44AX9X","13/08/2024","14:00","40 HC / 15125 KG ","PCIU8801372","24-16-3524-4002213","FUERDA SMARTECH","MANZANILO","RAMOS ARIZPE","ANTONIO ZUÑIGA","06BF7E / 74UT5W, 75UT5W","E - 1423 -2","IMPALA","ENTREGADO","16/08/2024","S 1052","DD 202 / CCP 489","","","","","","","","","","","","","","",""
"","WELLINGTON - FELIPE","ROBEJOMA","1283727C","SSA","64AK5A","14/08/2024","14:00","20 DC / 5269 KG","MRSU0134074","24-16-3708-4000866","ARGO","MANZANILLO","QUERETARO","JORGE","64AK5A / 31US5W","R - 1424","CIMA","ENTREGADO","15/08/2024","S 1048","DD 210 / CCP 488","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","-----","BOD. REAL S","","15/08/2024","7:00","25 PALLETS / 7600.68 KG / SELLO: 69","CARGA SUELTA","REF: W00000072","YAZAKI","LAZARO C","OBREGON","NOE PEREZ","85AP1B","CTA TERCEROS R - LCR 47","--------","ENTREGADO","20/08/2024","S 1055 / 1077 / I 249","CI","","","","","","","","","","","","","","",""
"","DANIEL RODRIGUEZ","------","-----","BOD. REAL S","","15/08/2024","7:00","19 PALLETS / 5844.6 KG / SELLO: 70","CARGA SUELTA","REF: W00000073","YAZAKI","LAZARO C","OBREGON","LUIS VALDES","20BB5R"," CTA TERCEROS F - LCR 48","--------","ENTREGADO","19/08/2024","S 1056 / 1078 / I 248","CI","","","","","","","","","","","","","","",""
"","OSCAR GALVAN","PEDRO MARTINEZ","","","","17/08/2024","10:00","40 HC / 20DC / 39145.740 KGM","TRHU2300330 / UETU4031167","24-16-3957-4001807","PLASTIGLAS","MANZANILLO","OCOYOACAC","JUAN PABLO ESTRADA ZAVALA","19BD1B PLANA 31US5W, 16UP6N","F-1425","ALSECONT / SSA"," ENTREGADO","19/08/2024","S 1049","DD 213 / CCP 491","","","","","","","","","","","","","","",""
"","MICHEL","RB GROUP ","3852657#4","CONTECON","","17/08/2024","13:00","40 HC/ 7530 KG","TEMU6461643	","24-16-3171-4001997        ","THERMOTEK","MANZANILLO","MONTERREY","JORGE","64AK5A / 31UW5K","R-1426","---------","QUEMADA","-------","------","DD 211","","","","","","","","","","","","","","",""
"","SKYLINE LOGISTIC","CARLOS TORRES","9129907","SSA","30BA6K","17/08/2024","10:00","1 PALETS / 313 KG","CARGA SUELTA","24-16-3010-4002966","TAURUS","MANZANILLO","QUERETARO","TOMAS FRANCO","30BA6K","A-1427","---------","ENTREGADO","19/08/2024","S 1053","DD 212","","","","","","","","","","","","","","",""
